cve,kev_fabricante,kev_producto,kev_fecha_agregada,kev_ransomware
CVE-2026-16232,Check Point,SmartConsole,2026-07-22,Unknown
CVE-2026-50522,Microsoft,SharePoint,2026-07-22,Unknown
CVE-2026-60137,WordPress,Core,2026-07-21,Unknown
CVE-2026-63030,WordPress,Core,2026-07-21,Unknown
CVE-2026-0770,Langflow,Langflow,2026-07-21,Unknown
CVE-2021-27137,DD-WRT,DD-WRT,2026-07-21,Unknown
CVE-2026-58644,Microsoft,SharePoint,2026-07-16,Unknown
CVE-2026-25089,Fortinet,FortiSandbox,2026-07-16,Unknown
CVE-2026-39808,Fortinet,FortiSandbox,2026-07-16,Unknown
CVE-2026-46817,Oracle,E-Business Suite,2026-07-15,Unknown
CVE-2023-4346,KNX Association,KNX Protocol Connection Authorization Option 1,2026-07-15,Unknown
CVE-2026-56155,Microsoft,Active Directory Federation Services,2026-07-14,Unknown
CVE-2026-56164,Microsoft,SharePoint Server,2026-07-14,Unknown
CVE-2026-15409,SonicWall,SMA1000 Appliances,2026-07-14,Unknown
CVE-2026-15410,SonicWall,SMA1000 Appliances,2026-07-14,Unknown
CVE-2008-4128,Cisco,IOS,2026-07-13,Unknown
CVE-2026-56291,Balbooa,Forms,2026-07-10,Unknown
CVE-2026-48939,iCagenda,iCagenda,2026-07-10,Unknown
CVE-2026-48908,JoomShaper,SP Page Builder,2026-07-07,Unknown
CVE-2026-55255,Langflow,Langflow,2026-07-07,Unknown
CVE-2026-56290,Joomlack,Page Builder,2026-07-07,Unknown
CVE-2026-48282,Adobe,ColdFusion,2026-07-07,Unknown
CVE-2026-45659,Microsoft,SharePoint Server,2026-07-01,Unknown
CVE-2026-48558,SimpleHelp ,SimpleHelp,2026-06-29,Unknown
CVE-2026-12569,PTC,Windchill and FlexPLM,2026-06-25,Known
CVE-2026-20230,Cisco,Unified Communications Manager,2026-06-25,Unknown
CVE-2025-67038,Lantronix,EDS5000,2026-06-23,Unknown
CVE-2026-34910,Ubiquiti,UniFi OS,2026-06-23,Unknown
CVE-2026-34909,Ubiquiti,UniFi OS,2026-06-23,Unknown
CVE-2026-34908,Ubiquiti,UniFi OS,2026-06-23,Unknown
CVE-2026-20253,Splunk,Enterprise,2026-06-18,Unknown
CVE-2026-48907,Widget Factory,Joomla Content Editor ,2026-06-16,Unknown
CVE-2026-54420,LiteSpeed,cPanel Plugin,2026-06-15,Unknown
CVE-2026-20262,Cisco,Catalyst SD-WAN Manager,2026-06-15,Unknown
CVE-2026-35273,Oracle, PeopleSoft Enterprise PeopleTools,2026-06-12,Known
CVE-2026-10520,Ivanti,Sentry,2026-06-11,Unknown
CVE-2026-11645,Google,Chromium V8,2026-06-09,Unknown
CVE-2026-7473,Arista,Extensible Operating System,2026-06-09,Unknown
CVE-2026-20245,Cisco,Catalyst SD-WAN Manager,2026-06-09,Unknown
CVE-2026-42271,BerriAI,LiteLLM,2026-06-08,Unknown
CVE-2026-50751,Check Point,Security Gateway,2026-06-08,Known
CVE-2026-28318,SolarWinds,Serv-U,2026-06-05,Unknown
CVE-2026-45247,Mirasvit,Mirasvit Full Page Cache Warmer,2026-06-03,Unknown
CVE-2022-0492,Linux,Kernel,2026-06-02,Unknown
CVE-2025-48595,Android,Framework,2026-06-02,Unknown
CVE-2024-21182,Oracle,WebLogic Server,2026-06-01,Unknown
CVE-2026-0257,Palo Alto Networks,PAN-OS,2026-05-29,Known
CVE-2026-48027,Nx,Nx Console,2026-05-27,Known
CVE-2026-45321,TanStack,TanStack,2026-05-27,Known
CVE-2026-8398,Daemon,Daemon Tools Lite,2026-05-27,Unknown
CVE-2026-48172,LiteSpeed,cPanel Plugin,2026-05-26,Unknown
CVE-2026-9082,Drupal,Core,2026-05-22,Unknown
CVE-2025-34291,Langflow,Langflow,2026-05-21,Unknown
CVE-2026-34926,Trend Micro,Apex One,2026-05-21,Unknown
CVE-2008-4250,Microsoft,Windows,2026-05-20,Unknown
CVE-2009-1537,Microsoft,DirectX,2026-05-20,Unknown
CVE-2009-3459,Adobe,Acrobat and Reader,2026-05-20,Unknown
CVE-2010-0249,Microsoft,Internet Explorer,2026-05-20,Unknown
CVE-2010-0806,Microsoft,Internet Explorer,2026-05-20,Unknown
CVE-2026-41091,Microsoft,Defender,2026-05-20,Unknown
CVE-2026-45498,Microsoft,Defender,2026-05-20,Unknown
CVE-2026-42897,Microsoft,Microsoft,2026-05-15,Unknown
CVE-2026-20182,Cisco,Catalyst SD-WAN,2026-05-14,Unknown
CVE-2026-42208,BerriAI,LiteLLM,2026-05-08,Unknown
CVE-2026-6973,Ivanti,Endpoint Manager Mobile (EPMM),2026-05-07,Unknown
CVE-2026-0300,Palo Alto Networks,PAN-OS,2026-05-06,Unknown
CVE-2026-31431,Linux,Kernel,2026-05-01,Unknown
CVE-2026-41940,WebPros,cPanel & WHM and WP2 (WordPress Squared),2026-04-30,Known
CVE-2024-1708,ConnectWise,ScreenConnect,2026-04-28,Known
CVE-2026-32202,Microsoft,Windows,2026-04-28,Unknown
CVE-2025-29635,D-Link,DIR-823X,2026-04-24,Unknown
CVE-2024-7399,Samsung,MagicINFO 9 Server,2026-04-24,Unknown
CVE-2024-57728,SimpleHelp ,SimpleHelp,2026-04-24,Known
CVE-2024-57726,SimpleHelp ,SimpleHelp,2026-04-24,Known
CVE-2026-39987,Marimo,Marimo,2026-04-23,Unknown
CVE-2026-33825,Microsoft,Defender,2026-04-22,Known
CVE-2026-20122,Cisco,Catalyst SD-WAN Manger,2026-04-20,Unknown
CVE-2026-20133,Cisco,Catalyst SD-WAN Manager,2026-04-20,Unknown
CVE-2025-2749,Kentico,Kentico Xperience,2026-04-20,Unknown
CVE-2023-27351,PaperCut,NG/MF,2026-04-20,Known
CVE-2025-48700,Synacor,Zimbra Collaboration Suite (ZCS),2026-04-20,Unknown
CVE-2026-20128,Cisco,Catalyst SD-WAN Manager,2026-04-20,Unknown
CVE-2025-32975,Quest,KACE Systems Management Appliance (SMA),2026-04-20,Unknown
CVE-2024-27199,JetBrains,TeamCity,2026-04-20,Known
CVE-2026-34197,Apache,ActiveMQ,2026-04-16,Unknown
CVE-2009-0238,Microsoft,Office,2026-04-14,Unknown
CVE-2026-32201,Microsoft,SharePoint Server,2026-04-14,Unknown
CVE-2012-1854,Microsoft,Visual Basic for Applications (VBA),2026-04-13,Unknown
CVE-2025-60710,Microsoft,Windows,2026-04-13,Unknown
CVE-2023-21529,Microsoft,Exchange Server,2026-04-13,Known
CVE-2023-36424,Microsoft,Windows,2026-04-13,Unknown
CVE-2020-9715,Adobe,Acrobat,2026-04-13,Unknown
CVE-2026-21643,Fortinet,FortiClient EMS,2026-04-13,Unknown
CVE-2026-34621,Adobe,Acrobat and Reader,2026-04-13,Unknown
CVE-2026-1340,Ivanti,Endpoint Manager Mobile (EPMM),2026-04-08,Unknown
CVE-2026-35616,Fortinet,FortiClient EMS,2026-04-06,Unknown
CVE-2026-3502,TrueConf,Client,2026-04-02,Unknown
CVE-2026-5281,Google,Dawn,2026-04-01,Unknown
CVE-2026-3055,Citrix,NetScaler,2026-03-30,Unknown
CVE-2025-53521,F5,BIG-IP,2026-03-27,Unknown
CVE-2026-33634,Aquasecurity,Trivy,2026-03-26,Unknown
CVE-2026-33017,Langflow,Langflow,2026-03-25,Unknown
CVE-2025-32432,Craft CMS,Craft CMS,2026-03-20,Unknown
CVE-2025-54068,Laravel,Livewire,2026-03-20,Unknown
CVE-2025-43510,Apple,Multiple Products,2026-03-20,Unknown
CVE-2025-43520,Apple,Multiple Products,2026-03-20,Unknown
CVE-2025-31277,Apple,Multiple Products,2026-03-20,Unknown
