cve,publicada,cvss,cvss_severidad,cvss_version,epss,epss_percentil,kev_fabricante,kev_producto,kev_fecha_agregada,kev_ransomware,explotada,cvss_banda,epss_alto,prioridad,riesgo_base,riesgo
CVE-2022-43803,2023-01-01,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2022-43816,2023-01-01,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2014-125037,2023-01-02,5.5,MEDIUM,3.1,0.00643,0.47103,,,,,False,Media,False,4 - Seguimiento normal,0.0354,0.0354
CVE-2022-4355,2023-01-02,7.2,HIGH,3.1,0.00874,0.55227,,,,,False,Alta,False,4 - Seguimiento normal,0.0629,0.0629
CVE-2022-32649,2023-01-03,6.7,MEDIUM,3.1,0.001,0.01,,,,,False,Media,False,4 - Seguimiento normal,0.0067,0.0067
CVE-2021-41985,2023-01-04,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2022-45052,2023-01-04,8.8,HIGH,3.1,0.00719,0.50086,,,,,False,Alta,False,4 - Seguimiento normal,0.0633,0.0633
CVE-2022-43525,2023-01-05,6.1,MEDIUM,3.1,0.00462,0.37546,,,,,False,Media,False,4 - Seguimiento normal,0.0282,0.0282
CVE-2016-15009,2023-01-05,3.5,LOW,3.1,0.00344,0.26954,,,,,False,Baja,False,4 - Seguimiento normal,0.012,0.012
CVE-2015-10013,2023-01-05,3.5,LOW,3.1,0.00638,0.46892,,,,,False,Baja,False,4 - Seguimiento normal,0.0223,0.0223
CVE-2014-125041,2023-01-05,5.5,MEDIUM,3.1,0.00658,0.47776,,,,,False,Media,False,4 - Seguimiento normal,0.0362,0.0362
CVE-2022-47543,2023-01-05,5.3,MEDIUM,3.1,0.00418,0.34277,,,,,False,Media,False,4 - Seguimiento normal,0.0222,0.0222
CVE-2020-7112,2023-01-06,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2014-125052,2023-01-06,5.5,MEDIUM,3.1,0.00643,0.47102,,,,,False,Media,False,4 - Seguimiento normal,0.0354,0.0354
CVE-2014-125053,2023-01-06,5.5,MEDIUM,3.1,0.00724,0.50249,,,,,False,Media,False,4 - Seguimiento normal,0.0398,0.0398
CVE-2014-125060,2023-01-07,7.3,HIGH,3.1,0.00951,0.57644,,,,,False,Alta,False,4 - Seguimiento normal,0.0694,0.0694
CVE-2022-33265,2023-01-09,7.3,HIGH,3.1,0.0036,0.28603,,,,,False,Alta,False,4 - Seguimiento normal,0.0263,0.0263
CVE-2022-36925,2023-01-09,4.4,MEDIUM,3.1,0.0012,0.02133,,,,,False,Media,False,4 - Seguimiento normal,0.0053,0.0053
CVE-2015-10035,2023-01-09,5.5,MEDIUM,3.1,0.00657,0.47709,,,,,False,Media,False,4 - Seguimiento normal,0.0361,0.0361
CVE-2022-43972,2023-01-09,6.5,MEDIUM,3.1,0.01313,0.67737,,,,,False,Media,False,4 - Seguimiento normal,0.0853,0.0853
CVE-2022-3416,2023-01-09,7.2,HIGH,3.1,0.17285,0.96786,,,,,False,Alta,True,2 - Explotación probable,1.2445,1.2445
CVE-2022-4491,2023-01-09,5.4,MEDIUM,3.1,0.00471,0.38128,,,,,False,Media,False,4 - Seguimiento normal,0.0254,0.0254
CVE-2022-46610,2023-01-10,8.8,HIGH,3.1,0.18087,0.96893,,,,,False,Alta,True,2 - Explotación probable,1.5917,1.5917
CVE-2022-4422,2023-01-10,9.8,CRITICAL,3.1,0.0062,0.46113,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0608,0.0608
CVE-2022-4711,2023-01-10,4.3,MEDIUM,3.1,0.00688,0.48943,,,,,False,Media,False,4 - Seguimiento normal,0.0296,0.0296
CVE-2023-0138,2023-01-10,8.8,HIGH,3.1,0.007,0.49376,,,,,False,Alta,False,4 - Seguimiento normal,0.0616,0.0616
CVE-2023-21738,2023-01-10,7.8,HIGH,3.1,0.00696,0.49244,,,,,False,Alta,False,4 - Seguimiento normal,0.0543,0.0543
CVE-2023-22958,2023-01-11,6.1,MEDIUM,3.1,0.00448,0.36655,,,,,False,Media,False,4 - Seguimiento normal,0.0273,0.0273
CVE-2021-26396,2023-01-11,4.4,MEDIUM,3.1,0.00113,0.01658,,,,,False,Media,False,4 - Seguimiento normal,0.005,0.005
CVE-2022-4499,2023-01-11,7.5,HIGH,3.1,0.00709,0.49728,,,,,False,Alta,False,4 - Seguimiento normal,0.0532,0.0532
CVE-2022-41809,2023-01-11,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2017-16285,2023-01-11,9.9,CRITICAL,3.1,0.00673,0.48361,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0666,0.0666
CVE-2017-16324,2023-01-11,9.9,CRITICAL,3.1,0.00853,0.54529,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0844,0.0844
CVE-2017-16331,2023-01-11,9.9,CRITICAL,3.1,0.00853,0.54532,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0844,0.0844
CVE-2022-4365,2023-01-12,5.5,MEDIUM,3.1,0.00711,0.4979,,,,,False,Media,False,4 - Seguimiento normal,0.0391,0.0391
CVE-2022-46370,2023-01-12,7.3,HIGH,3.1,0.00225,0.13259,,,,,False,Alta,False,4 - Seguimiento normal,0.0164,0.0164
